fileName,klausScore,areaScore,posScore,brisqueScore,shrScore,nrss,g_mssim,Rp,g_entropy,label
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0012.jpeg,0.60992,0.0,0.0,0.60992,0.10292,0.054522,0.117735,0.127002,0.241347,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0011.jpeg,0.464655,0.0,0.0,0.464655,0.093663,0.045297,0.177913,0.100685,0.074793,1.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0010.jpeg,1.890199,0.745199,0.887985,0.566747,0.073315,0.03344,0.138535,0.080145,0.01864,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0009.jpeg,0.474256,0.0,0.0,0.474256,0.033285,0.008285,0.103135,0.030459,0.027362,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0008.jpeg,1.941093,0.74637,0.827457,0.705915,0.108066,0.053166,0.263196,0.101432,0.025239,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0007.jpeg,0.781112,0.0,0.0,0.781112,0.128466,0.073751,0.356131,0.10392,0.156771,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0006.jpeg,0.657527,0.0,0.0,0.657527,0.075258,0.025986,0.201543,0.072481,0.021001,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0005.jpeg,0.527299,0.0,0.0,0.527299,0.079318,0.035238,0.166401,0.083189,0.040449,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0004.jpeg,1.817487,0.745199,0.858094,0.538585,0.055834,0.023451,0.124827,0.057447,0.11782,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0003.jpeg,0.593919,0.0,0.0,0.593919,0.052192,0.024756,0.169081,0.039215,0.088645,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0002.jpeg,0.504758,0.0,0.0,0.504758,0.173149,0.08009,0.372237,0.177579,0.023933,0.0
7702972388704745333/20180307_5d55d4128a3d3ea877a27ce8135cc3b3_0001.jpeg,0.668575,0.0,0.0,0.668575,0.139466,0.06986,0.287182,0.143074,0.089092,0.0
